Date,Open,High,Low,Close
10/08/2020,"1,239.18","1,234.88","1,234.88","1,234.88"
07/08/2020,"1,234.72","1,239.10","1,239.10","1,239.10"
06/08/2020,"1,241.55","1,234.73","1,234.73","1,234.73"
05/08/2020,"1,235.79","1,241.86","1,241.86","1,241.86"
04/08/2020,"1,241.36","1,235.79","1,235.79","1,235.79"
03/08/2020,"1,228.60","1,241.39","1,241.39","1,241.39"
31/07/2020,"1,235.47","1,228.58","1,228.58","1,228.58"
30/07/2020,"1,244.05","1,235.39","1,235.39","1,235.39"
29/07/2020,"1,231.79","1,244.95","1,244.95","1,244.95"
28/07/2020,"1,233.40","1,231.63","1,231.63","1,231.63"
27/07/2020,"1,224.53","1,233.39","1,233.39","1,233.39"
24/07/2020,"1,238.22","1,224.52","1,224.52","1,224.52"
23/07/2020,"1,243.35","1,238.28","1,238.28","1,238.28"
22/07/2020,"1,232.79","1,243.35","1,243.35","1,243.35"
21/07/2020,"1,233.61","1,232.87","1,232.87","1,232.87"
20/07/2020,"1,233.45","1,233.55","1,233.55","1,233.55"
17/07/2020,"1,217.15","1,233.67","1,233.67","1,233.67"
16/07/2020,"1,219.09","1,217.06","1,217.06","1,217.06"
15/07/2020,"1,203.31","1,219.14","1,219.14","1,219.14"
14/07/2020,"1,179.31","1,203.28","1,203.28","1,203.28"
13/07/2020,"1,173.97","1,180.18","1,180.18","1,180.18"
10/07/2020,"1,177.50","1,173.97","1,173.97","1,173.97"
09/07/2020,"1,185.96","1,176.56","1,176.56","1,176.56"
08/07/2020,"1,188.30","1,186.27","1,186.27","1,186.27"
07/07/2020,"1,190.01","1,186.07","1,186.07","1,186.07"
06/07/2020,"1,191.49","1,196.34","1,196.34","1,196.34"
02/07/2020,"1,181.32","1,184.43","1,184.43","1,184.43"
01/07/2020,"1,172.84","1,176.09","1,176.09","1,176.09"
30/06/2020,"1,147.26","1,167.80","1,167.80","1,167.80"
29/06/2020,"1,137.38","1,147.04","1,147.04","1,147.04"
26/06/2020,"1,151.39","1,137.37","1,137.37","1,137.37"
25/06/2020,"1,139.43","1,151.43","1,151.43","1,151.43"
24/06/2020,"1,170.85","1,139.72","1,139.72","1,139.72"
23/06/2020,"1,165.80","1,170.82","1,170.82","1,170.82"
22/06/2020,"1,169.92","1,165.74","1,165.74","1,165.74"
19/06/2020,"1,164.37","1,169.95","1,169.95","1,169.95"
18/06/2020,"1,157.66","1,159.85","1,159.85","1,159.85"
17/06/2020,"1,168.05","1,163.36","1,163.36","1,163.36"
